Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
60,Thursday Jun 11,boxscore,SEA,@,CLE,L,0,6,,27-33,4,6.5,Marcum,Happ,,2:40,D,15316,0.7,-,
61,Friday Jun 12,boxscore,SEA,@,HOU,L,0,10,,27-34,4,7.5,Oberholtzer,Hernández,,2:45,N,32173,0.8,--,
62,Saturday Jun 13,boxscore,SEA,@,HOU,W,8,1,,28-34,4,6.5,Montgomery,McHugh,,2:47,D,36762,0.66,+,
63,Sunday Jun 14,boxscore,SEA,@,HOU,L,0,13,,28-35,4,7.5,McCullers,Elías,,3:26,D,29153,0.71,-,
64,Monday Jun 15,boxscore,SEA,@,SFG,W,5,1,,29-35,4,7.5,Walker,Hudson,,2:52,N,42099,0.54,+,
65,Tuesday Jun 16,boxscore,SEA,@,SFG,L,2,6,,29-36,4,8.5,Lincecum,Happ,,2:39,D,41267,0.58,-,
66,Wednesday Jun 17,boxscore,SEA,,SFG,W,2,0,,30-36,4,8.5,Hernández,Bumgarner,Smith,2:24,N,34844,0.49,+,
67,Thursday Jun 18,boxscore,SEA,,SFG,L,0,7,,30-37,4,9.5,Vogelsong,Montgomery,,2:53,N,34354,0.52,-,
68,Friday Jun 19,boxscore,SEA,,HOU,W,5,2,,31-37,4,8.5,Elías,McCullers,Smith,2:33,N,40914,0.52,+,
69,Saturday Jun 20,boxscore,SEA,,HOU,W,6,3,,32-37,4,7.5,Walker,Keuchel,Smith,2:43,N,26770,0.58,++,
70,Sunday Jun 21,boxscore,SEA,,HOU,L,2,6,,32-38,4,8.5,Harris,Happ,,3:24,D,40905,0.68,-,
71,Monday Jun 22,boxscore,SEA,,KCR,L,1,4,,32-39,4,8.5,Blanton,Hernández,Holland,2:34,N,23588,0.51,--,
72,Tuesday Jun 23,boxscore,SEA,,KCR,W,7,0,,33-39,4,8.5,Montgomery,Guthrie,,2:23,N,17460,0.42,+,
73,Wednesday Jun 24,boxscore,SEA,,KCR,L,2,8,,33-40,4,8.5,Madson,Elías,,2:47,N,23392,0.51,-,
74,Friday Jun 26,boxscore,SEA,@,LAA,W,3,1,,34-40,4,8.0,Walker,Shoemaker,Rodney,2:43,N,41137,0.5,+,
75,Saturday Jun 27,boxscore,SEA,@,LAA,L,2,4,,34-41,4,8.0,Richards,Happ,Street,2:38,D,40514,0.59,-,
76,Sunday Jun 28,boxscore,SEA,@,LAA,L-wo,2,3,10.0,34-42,4,9.0,Gott,Wilhelmsen,,3:14,D,38387,0.53,--,
77,Tuesday Jun 30,boxscore,SEA,@,SDP,W,5,0,,35-42,4,9.5,Montgomery,Kennedy,,2:23,N,30368,0.37,+,
78,Wednesday Jul 1,boxscore,SEA,@,SDP,W,7,0,,36-42,4,9.5,Walker,Shields,,3:01,D,30251,0.41,++,
79,Thursday Jul 2,boxscore,SEA,@,OAK,L,0,4,,36-43,4,10.0,Kazmir,Elías,,2:17,N,13062,0.5,-,
80,Friday Jul 3,boxscore,SEA,@,OAK,W,9,5,,37-43,4,10.0,Happ,Chavez,,2:52,N,35067,0.42,+,
81,Saturday Jul 4,boxscore,SEA,@,OAK,L,0,2,,37-44,4,10.0,Graveman,Hernández,Clippard,2:36,D,18915,0.49,-,
82,Sunday Jul 5,boxscore,SEA,@,OAK,W,2,1,,38-44,4,9.0,Montgomery,Bassitt,Rodney,2:47,D,22163,0.39,+,
83,Monday Jul 6,boxscore,SEA,,DET,L,5,12,,38-45,4,10.0,Simon,Guaipe,,3:17,N,22580,0.5,-,
84,Tuesday Jul 7,boxscore,SEA,,DET,W-wo,7,6,11.0,39-45,4,9.0,Furbush,Krol,,3:44,N,21782,0.4,+,
85,Wednesday Jul 8,boxscore,SEA,,DET,L,4,5,,39-46,4,9.0,Sánchez,Guaipe,Soria,3:28,D,26488,0.49,-,
86,Thursday Jul 9,boxscore,SEA,,LAA,W,7,2,,40-46,4,8.0,Hernández,Richards,Smith,3:14,N,28131,0.48,+,
87,Friday Jul 10,boxscore,SEA,,LAA,L,3,7,,40-47,4,8.0,Santiago,Montgomery,,2:49,N,29679,0.57,-,
